episode_id,success,oracle_success,spl,navigation_error,shortest_path_length,path_length,num_pred_steps
val_000000,0,0,0.0,2.4471986293792725,3.425283670425415,1.7027387768030167,20
val_000001,0,1,0.0,0.6496564745903015,3.8797223567962646,3.5442762598395348,23
val_000002,1,1,1.0,1.329572319984436,3.9891436100006104,2.651667296886444,22
val_000003,0,0,0.0,2.7992300987243652,2.807255268096924,1.0245686769485474,20
val_000004,0,0,0.0,2.1401140689849854,3.414184093475342,2.949023187160492,20
val_000005,0,1,0.0,1.0848969221115112,2.710313320159912,3.247527599334717,22
val_000006,0,0,0.0,2.3242239952087402,3.0405919551849365,2.2343442291021347,19
val_000007,0,0,0.0,3.068307399749756,3.6284472942352295,1.2182867228984833,21
val_000008,0,1,0.0,1.3120814561843872,2.653794050216675,2.0,15
val_000009,0,0,0.0,4.452855110168457,3.759002923965454,1.7729157358407974,23
val_000010,0,1,0.0,0.8499419689178467,3.505249261856079,4.4713966846466064,24
val_000011,0,1,0.0,0.79071444272995,2.7647883892059326,3.5,14
val_000012,0,0,0.0,2.8519856929779053,2.7023227214813232,3.0000001192092896,22
val_000013,0,1,0.0,0.8391921520233154,2.741893768310547,3.500001162290573,18
val_000014,0,1,0.0,0.8846937417984009,4.090697288513184,4.721896067261696,24
val_000015,0,1,0.0,0.704779863357544,3.4387683868408203,4.000001236796379,22
val_000016,0,0,0.0,2.9755749702453613,3.0098700523376465,0.0,24
val_000017,0,1,0.0,0.612585723400116,3.4187569618225098,4.000000059604645,16
val_000018,0,1,0.0,1.3222770690917969,3.409947395324707,3.954156771302223,22
val_000019,0,1,0.0,0.1091122105717659,3.6457808017730713,3.7500007152557373,20
